Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
Yea can you recommend one and get my the phone number please?|it is called restaurant one seven and there phone number is 01223337766
i'm also looking for a train.|Where would you be departing from and when would you like to leave?
Im leaving Cambridge at 11:00|What is your destination?
nevermind, i'm going to cambridge not from it. i'm leaving from norwich|I have booked you on TR8662 which leaves Norwich at 11:16 on Friday and takes 79 min to get to Cambridge for 17.60 pounds. Reference R42CEKG8
Actually, I am traveling on Tuesday. I need to leave after Norwich after 15:45. I need a booking for 7 people.|So you want to cancel the other booking?
No i will keep it|Okay thank you for calling.
Actually, sorry. Do cancel the other booking because I didn't ask for it. Make the booking for 7 people on a train leaving after 15:45 from norwich to cambridge on tuesday|Your tickets have been booked. Your new reference number is 8XIKH0Z9.
Perfect. Sorry about all the confusion and thanks for your help. Have a great day.|Glad to have been of help. Thank you for using the Cambridge TownInfo centre. Have a great day
I'm wondering if there are any boat attractions in town?|There are 4 boat attractions in town.  What part of town would you prefer?
It doesn't matter what area, I just need a phone number and postcode for one please.|I would recommend the riverboat georgina. The phone number is 01223902091 and the postcode is cb43ax. Do you need anything else?
Yes, I'm also looking for a train for Tuesday.|What are your departure and arrival stations, and what time of day would you like to travel?
I would like to leave by 17:00|Do you need to arrive by a certain time?
No as long as it leaves any time after 13:00 for 6 please and I need the reference number|I have a number of trains available, what is your place of departure and your destination, please?
I am leaving from Ely and departing at 5.|Could you please retstate when you would like to leave and arrive by?
I'm so sorry. I need to leave Cambridge after 13:00 on Tuesday and I'm going to Ely. I need 6 tickets.|I booked you for 6 tickets on the 15:50 train that arrives in Ely at 16:07. your reference number for the journey is 3QK3PKJT.
Thank you for all your help!|I am glad I could help. Have a good day and a fun trip!
Thank you. Bye.|Thank you for contacting Cambridge TownInfo Centre.  Have a great day!
I'm looking for places to go in the west of town.|What type of place are you looking for?
Anything is fine, just be sure and let me know if there is an entrance fee.|Queens' college is great. The entrance fee is 2.50 pounds. Anything else I can help you with?
Yes. I need a train to stevenage on thursday.|Where are you heading out of? And what time are we looking at?
I am departing cambridge leaving after 17:15|How does the 17:21 departure on the TR4765 sound?
That's great I need to make a booking for 6 people|Sure! I have placed a booking for 6 people on the train departing Cambridge to Stevenage at 17:21. The total cost of travel is 78.8 pounds. Your confirmation number is 3UASOJDN.
Perfect! Thank you!|Is there anything else I can assist you with today?
No, that will be all, you have been very helpful. Thank you.|You're welcome. Good-bye.
Can you check if there are any moderately priced restaurants in the centre of town?|Yes, there are several. Do you prefer Asian or British food?
i will do modern european food|Okay we have the de luca cucina and bar and the riverside brasserie. Which one would you like?
Let's do the riverside brasserie. What about a table for 3 at 15:00 on Saturday?|Booking was successful. The table will be reserved for 15 minutes. Reference number is : TYDEG9IJ.
Great I also need a train that should depart cambridge and head to ely.|Sure, what day do you want to travel?
I would like to leave on a Sunday.|Do you have a preferred time frame ?
I want to arrive by 11:15.|TR3177 will arrive by 10:07 and leaves at 09:50 would you like me to book it for you?
Yes, please. Include the reference number please|You are set, the total fee is 3.52 GBP payable at the station, your Reference number is WVJC995L.  May I help with anything else?
No that is all. Thank you. Goodbye|Ok. Thank you. Goodbye.
I need a place to stay. Find me a hotel with free wifi.|Boom!!  We have gonville hotel.  Need me to book a room?
That would be great, do you know what the price range is?|The Gonville is expensive.
Does that have a 5 star rating?|No, only 3 stars.
I was hoping for something with at least 4 stars.|I have 3 hotels that meet that criteria. All are 4 star rated and offer free parking and free internet. I have 2 in the west and 1 in the centre.
I want to book for 2 people and 3 nights starting Sunday.|I'll be more than happy to help you book a room as soon as you tell me what part of town you prefer.
I don't have a preference for side of town.|Huntingdon marriott hotel comes highly recommended, shall I book your room there?
Can you book it for me and get a reference number ?|Your booking for Sunday at the Huntingdon Marriot Hotel has been booked. Your reference number is KKV2OAGC.
Great I also need a train please.|Can you tell me your departure and destination locations please?
I'm going from cambridge to broxbourne after 20:00 on monday.|There's a train at 20:01 that will get you to Broxbourne at 21:01. Would you like to book passage?
Yes, two tickets please|Great, you're all set. Your reference number is : LEX7I9AY. Anything else I can help with today?
No thanks. You've been very helpful. Take care. Goodbye.|You are welcome. Goodbye.
I am looking for a restaurant in the cambridge area that serve cuisine for a moderate price.|Yippee noodle bar at 40428 King Street City Centre meets your needs.  Would you like a booking?
I need the place to serve a Turkish food. I'll need an address and post code also.|I have two that serve Turkish food, both in the moderate price range: Anatolia and Efes Restaurant. Would you like addresses for both?
Yes please. I'm also looking for a train if you can help me with that.|Of course, where is the departure from? And at what time?
I'll need to leave from kings lynn sometime after 21:15.|The first train out of kings lynn after your specified time is TR0672, leaving at 22:11.
Ok I'd like to book 7 tickets for monday. And can I get the reference number?|That has been booked. The reference number is RJFFMS3C. Anything else I can do for you?
Great, thank you! That is everything I needed.|Your welcome.  Please let us know if we can be of assistance in the future.
I am looking for a train leaving Cambridge.|We have quite a few, I'm sure we'll be able to get you where you want to go. Where is that, exactly?
I would like to go to leicester and leave on friday.|I have quite a few trains that fit your criteria. Is there a certain time you need to leave or arrive by?
Departing from cambridge and I want to arrive somewhere around 20:00, can you get me 7 tickets and I'll need the reference number too.|The TR2508 arriving at 19:06 sound okay to you?
That sounds great, thank you. Could you book that for me for 7 people? I will need the reference number as well.|I completed your booking. The reference number is C11MOBV7. Is there anything else I could help you with?
Yes , I also need to find a place to stay. Preferably 4 stars and a guesthouse.|Sure! Our database contains 18 guesthouses rated 4 stars. To narrow down the search, could you tell me in what part of town you'd like to stay?
I definitely want to stay in the east part of town.|I have six entries matching your request.  Would you prefer cheap or moderate price range?
The price range doesn't matter, but could you pick one and book it for 3 nights for 7 people starting Tuesday?|I'm sorry.  There are no rooms available for that stay.  Can you choose a different day or shorter stay?
How about 1 night?|I was able to book the A and B Guest House for 1 night.  Booking was successful. Reference number is : 995PR933.
thank you, you've been quite helpful|Glad to help. Have a lovely day.
I need a train to birmingham new street that leaves after 9:00.|Sure what is the departure site?
I will be leaving from Cambridge.|The TR3732 leaves at 09:01 and arrives at 11:44, would that work?
Yes, that would work just fine. Can I get 1 ticket please?|Booking was successful, the total fee is 75.09 GBP payable at the station. The reference is SU39QA9K.
Awesome. I'm looking for a concert hall in the south too.|Unfortunately, I do not happen to have any concerthalls in the south. Would you like to try another area or different type of attraction?
How about a park?|There is Wandlebury Country Park in the south.
That sounds lovely. What is the postcode and entrance fee?|The postal code is cb223ae.  And great news!  There is no entrance fee.  Can I help you with anything else today?
That was all I needed. Thank you!|You are very welcome. Have a wonderful trip!
Is there a place to stay in the north area of town? Can it have free wifi access too?|There are 10 guesthouses and 2 hotels that meet your criteria. Are you interested in any particular price range?
I'd like a guesthouse, please. a 4 star rating is a must.|They archway house may be a good option.
Do they have free parking?|Yes they have free parking.
Can I have the phone number and what is the price range?|The price range of Archway House is moderate and their phone number is 01223575314. Would you like any more information? I can book you a room if you would like.
No thanks. But can you help me find a train into Cambridge for Wednesday please?|Where will you leave from?
Ely is where I will be leaving from.|What time would you like to leave and arrive?
I'm sorry, I will actually be leaving Norwich. I need to arrive by 21:15.|i have train tr8658 that will arrive at 20:35. did you need any tickets?
No thank you that will be all|Okay, have a great day!
I need help finding a train. It needs to be going to Cambridge and should arrive by 20:30.|There is one leaving from Londons king vross the refernce number is VURC2CKA
I need to leave on Tuesday.  Does that one leave on Tuesday?|There is a train that leaves from birmingham new street on tuesday that arrives at cambridge at 20:23. Shall I book this for you?
No, I need to leave from Leicester.|Very well. What time would you like to leave?
I don't care, just make sure i can be there by 20:30.|TR0363 departs leicester at 09:09 and arrives in cambridge at 10:54 on Tuesday. Would you like me to book that for you?
Yes I need three seats on the train please.|Great I got you three seats on that train for a total cost of 113.40 pounds. Your reference number is BG6NO020.
Okay That is all I need.|Thank you for using Cambridge TownInfo centre. Have a nice day!
I'm looking for a train please.|There are several trains where are you going?
I am going to Cambridge from Leicester.  I am planning to leave on Sunday and I need to be there by 11:45.|If you take the TR1079 at 9:09 you can arrive in Cambridge by 10:54. Would you like me to book it?
Yes, that sounds great. I would like to  book the train for 7 people. What is the reference number?|there is the reference number TR4106
Thank you for your help|Thank you for using our services. Do you need any further assistance?
That is all I needed.  Thank you.|You're welcome. Have a nice day and please call us again!
Wait, I don't think that's a valid reference number.|35VBB0LK if your reference numbers, what else may I help you with?
Great. Nothing else. Thanks, again. Goodbye for now.|most welcome and safe journey
Do you have any trains leaving after 15:00 on Thursday?|Yes, there are many.  What is your destination?
My destination is Norwich departing from Cambridge.|TR8604 leaves at 15:36, would this one work for you?
Yes, that would be find. I'll need to book tickets for 7 people. Can I have the reference number please?|Booking was successful, the total fee is 123.2 GBP payable at the station . Reference number is : KSHHCWCE.
Thank you! Can you help me find somewhere to eat now?|Sure, I can help you with that. Do you have a preference in food type or price range?
Yes, do you have a place that serves corsican food? I also need it to be on the cheap side.|No, unfortunately, I do not have any cheap Corsica restaurants. Would you like to look for another restaurant?
Bummer! I guess I'll try some asian oriental food then|I have two that fit your criteria!  Dojo Noodle Bar, and J Restaurant are both in the city centre area.  Do you have a preference?
can you suggest one and I need the address, postcode and their phone number too please|I'd recommend the Dojo Noodle Bar. The address is 40210 Millers Yard City Centre. The postcode is cb21rq. The phone number is 01223363471.
Wonderful! I think that's all I need for now, thank you so much for your help!|You're welcome, have a great day!
I want to find a hotel located in the west please.|Is there anything else you want in a hotel?
Yes please. I would like for it to include free wifi.|I have found a number of hotels with internet, what is your price range?
I want the most expensive one.|I think you'll be happy with the Huntington Marriott Hotel.  The phone number is: 01480446000. Would you like me to book it?
Yes, can you please book me a room for 4 people for 5 nights starting Saturday.|Ok, I have 4 people booked at the Huntingdon Marriott for 5 days beginning on Saturday. Your reference number should you need it is 8DNV0JBG. Can I assist with anything else?
Yes.  I am looking to go to london Kings cross on thursday via train.  Is this something you can assist with?|Where will you be departing from?
I will be departing from Cabridge.|There are trains to Kings Cross every 2 hours, on the hour. Is there a certain time you had in mind?
I need the train to leave after 16:45.|TR1791 leaves at 17:00. it is the earliest. will that be fine with you?
Sure. What is the cost and what time will it arrive?|The price is 23.60 pounds and you will arrive at 17:51.
thankyou so much|Thank you for using our service today!
I need a train into Cambridge that will arrive by 14:30.|I can help you with that.  Can you tell me what your departure location will be?
Yes, I'll be leaving Leicester on Tuesday.|I have a train that arrives at 13:54. How many seats would you like?
I'd like 3 if possible and also need the reference number.|I was able to book you those 3 seats and your reference number is J3B2D19H.
Thanks! What can you tell me about the parks in town?|We have five fantastic parks located in the centre, east, north, and south. I suggest Milton Country Park. It has free entrance. Would you like more information?
What is the address and phone number?|The address is milton country park, milton and the phone number is 01223420060. Do you need anything else?
Yes what is the entrance fee?|The entrance is free to Milton Country Park!
Wonderful thank you so much for your help!|Can I help you with anything else today.
I think that is all for today. Thank you.|Thank you for using our system!
I'm looking for a train leaving after 15:30 from cambridge.|There are over 623 trains leaving then. Where will you be going to?
london liverpool street and should leave on monday|TR3602 departs at 15:59 Monday and arrives at London Liverpool street by 17:27. Does this suit your needs?
That sounds great.  Can you book that for 6 people for me?|Sure! I have 6 people booked for monday with reference number 3EBQSQSC and a total of 99.6 GBP. Can I help you with anything else?
I'm also looking for a recommendation on a hotel with free parking in the north.|Do you have a price range?
Yes, I'd like to keep it cheap, please. I do need free wifi, though.|I have listings for two,city centre north b and b and worth house.
Let's go with City Centre North B and B. I need to book for 6 people, 2 nights, and starting on Saturday, please.|Yes. Your reservation was successful. The booking number is 4H91C8I3.
thank you that will be all|Have a great day!
Can you help me find a place to eat?|What sort of food are you looking to eat?
I'm looking for an expensive indiian restaurant in the west part of town.|There are 5 options to choose from, I recommend the tandoori palace. Would you like me to make reservations for you?
That sounds great. I need a table for 1 on Wednesday at 19:45.|Your booking was successful. Your table will be reserved for 15 minutes. The reference number is DGO6TW9S.
Okay I also need a train that leaves on Thursday.|Sure where are you departing from?
I need to get to London Liverpool Street by 09:00.|Ok, your best bet to get from cambridge to liverpool street is TR4127, leaving at 05:59, arriving at 07:27. Would you like me to book a seat?
Yes for 1 person. i'll also need the reference number.|Booking was successful, the total fee is 16.6 GBP payable at the station . Reference number is : QGJMVZR4. anything else?
That will be all. Thank you for your help!|Great. Have a nice trip. Good bye.
I am looking for information in Cambridge.|Sure I can help you. What kind of information were you looking for?
I am wondering if you have any restaurants in town that serve eriterean food.|Yes, there are three restaurants that serves Mediterranean food.
Umm, actually I had asked about Eriterean food, not Mediterranean.|we got none that serves that kind of food. will you change the kind of food?
No, I really want Mediterranean food.|Okay I have three restaurants serving this. Would you like me to choose one for you?
Yes please do.|I like the gardenia.  Need me to make a reservation?
Yes for 2 people on monday at 12:15 please.|Booking was successful. The table will be reserved for 15 minutes. Reference number is : K8YAC7SK. Can I help with anything else?
I also need help finding a train going to Cambridge|Okay! From where?
I need to leave from birmingham new street|Great, what day and time do you prefer?
Monday and I'll need to arrive by 08:30 in Cambridge.|The first train leaves at 5:40.
What time does it arrive?|it will arrive by 08:23. is that fine with you?
Yes that will work. I need 2 tickets for monday please.|what day will you be travavelling
Monday. As I said before, 2 tickets for Monday.|I have booked two seats on TR3888  arriving in Cambridge at 08:23. Reference number is : 5DPBKIY1.  Can I be of further assistance?
No, that will be all for today.|excellent, have a great day!
I'm looking for a train on Tuesday to arrive in Cambridge by 19:00, can you help me please?|Sure! Where will you be departing from?
I will be leaving from Cambridge.|I'm sorry,I'm confused. You are leaving from Cambridge to go to Cambridge?
No.  I am leaving from Cambridge to go to Broxbourne.|Train TR0189 arrives at 18:01. Should I reserve tickets for that one?
Sure please make a booking for 4 people.|Booking was successful, the total fee is 71.59 GBP payable at the station . Reference number is : V7H3P3G7. anything else?
Yes, I am looking for a 2-star hotel in the west part of town.|There are no 2 star hotels in the west part of town. Would you like to expand the search to 2 star hotels in other parts of the city?
Will you check to see if there are any in the north?|I have the lovell lodge it is located in the north and is moderately priced with 2 stars.  Would you like to reservations there?
sure, for the same group of people on sunday|Ok and I need a reference number please
i'm looking for a moderately priced hotel that includes free wifi.|There are 3 hotels in the moderate price range with free internet. Do you want free parking and what area do you want to stay in?
I'd like the accommodations to be a guesthouse, if possible.|I have found 14 different guesthouses for you. What area are you interested in? and will you be needing parking?
I need a guesthouse in the moderate price range with free wifi. Please let me know whether they have free parking.|The Avalon is a guesthouse at 62 gilbert road with free wifi but no parking.  Would you like to book them or keep looking?
can you tell me what area that's in?|A and B Guesthouse is in the east
I am looking for a train that goes to london liverpool street and leaves after 17:15.|I can certainly help you with that. Which day did you have in mind to travel?
I want to leave on Friday.|Unfortunately, the only train I have matching your criteria is one leaving 23:59 and arriving at 01:27 in the morning. Did you want to book that?
Yes that's fine. I'll take 8 tickets for that train please.|Alright, your train tickets have been booked and the reference number is NFA1DPXI. The train ID is TR3138. Is there anything else I can help you with?
Nope, that is everything. Thank you so much!|Have a great day!
Can I catch a train to Cambridge?|You sure can! Where will you be traveling from, and on what day?
I am leaving Peterborough on Sunday and I need to arrive by 10:15.|When do you want to arrive by?
I need to arrive by 10:15.|TR0774 arrives closest to that time, it will arrive by 10:09. Would you like to book a seat?
Yes, please. I only need one ticket.|Booking was successful, the total fee is 13.2 GBP payable at the station . Reference number is : 676ITDRH. Can I help with anything else today?
Yes, I am going to need a place to stay while I'm in town.Can you recommend a guesthouse in the south?|What price range would you like?
I want to keep it in the moderate range please|Sure, I would recommend the Aylesbray Lodge guesthouse. It is 4 stars, includes wifi, parking and is in the moderate range. Would you like me to book it?
I actually want a hotel with 3 stars if possible|The bridge guesthouse is in the south with 3 stars. They have internet and parking. Would you like me to make a reservation for you?
Can I please have their phone number?|Sure there phone number is 01223247942. Is there anything else I can help you with today?
No, that's all. good bye.|Thank you for contacting us and have a nice day.
I am looking for a train that departs from Cambridge on Thursday.|There's a train that leaves at 9 am and arrives at 9:51 am. Is that good?
No, I actually need to leave after 12:00.|Okay, and what is your destination?
I need to go to ely after 12:00.|I have a train that leaves Ely on Thursday at 13:50 and arrives by 14:07. Would you like to book tickets?
Yes, that would be great. Can you book tickets for 7 people please. And I'll need a reference number for it.|Booked! Your reference number is UCT2SJ8W. Fee is 30.8, paid at the station. Anything else.
No thank you. That is all.|Okay great. Glad I could be of assistance.
Find me train times from cambridge to london liverpool street.|Which day would you be traveling?
Wednesday, please. Any time after 08:00.|I have train TR5874 that leaves at 09:59 and arrives in London Liverpool Street at 11:27. Would that suit your needs?
Yes, I would like a ticket just for myself.|I have booked the seat and here is the information-Booking was successful, the total fee is 16.6 GBP payable at the station . Reference number is : E770Z8W7.
Thank you. Please also find me a moderately priced hotel on the West side|Yes, Hobson's House matches your request. Would you like me to book a room for you?
check first if it has  free parking and should have a star of 4|It fits that criteria.
Okay, go ahead and book a room. It's just for me.|How many nights would you like?
Please book for 2 nights, for 1 person starting on Monday.|I'm sorry, but the hobsons house is a 3 star guesthouse.
Can you please help me find a cheap hotel to stay in that includes free wifi?|The Cambridge Belfry is the only cheap hotel in town that has free wifi. It's in the west side of town at back lane, cambourne. Do you want a reservation?
I would like a little more information about the Belfry hotel. does it have a 4 star rating?|Yes, it does have a four star rating. Would you like to book a room?
No but what is the address?|The Cambridge Belfry is located at Back Lane, Cambourne.  Can I help you with something else?
No thank you that will be all|You're very welcome! Have a great day!
Hello! I'm looking for a train. Can you help?|I'd be happy to help with your request, first I'll need to know where you are departing/arriving and what day will you be departing?
I'll be leaving Leicester on Wednesday and I need to arrive in Cambridge by 21:30.|Train TR2052 leaves Cambridge at 19:09 and arrives in Leicester at 20:54. Would you like me to book you a ticket or would you prefer something earlier?
Yes, please book that train for 5 people.|Your booking went great! Here is your reference number XGBQHC6Y. Is there anything else I can help with?
Yes, I'm also looking for a place to stay, preferably somewhere with free wifi.  Can you assist me with that?|Yes, I can help with that. Are you staying at in a specific area of town and do you have a price range in mind?
I ned it to be a hotel in the west please.|I would recommend the 4 star Hungtington Marriott Hotel. It does have free parking and internet. Would you like to make a reservation?
Yes, please book the hotel for 5 people starting Wednesday for 4 nights.|Booking was successful your reference number is : ZK23HSL9. Can I help you with anything else?
No, I think that's all for today. You've been a great help. Thanks. Goodbye.|Thank you goodbye
I need to find a train going to cambridge from london kings cross.|There are 70 trains meeting those requirements. What day of the week are you leaving?
I need to leave on Saturday and arrive by 17:00.|I have a train that fits your criteria Saturday, it leaves at 05:17 and arrives at 06:08. Would you like me to book it for you?
No, I need to arrive by 5:00 no 6:00 can you check the schedule again?|I have a train that arrives at 16:08. Is that what you are looking for?
I need to arrive in Cambridge by 17:00.|Booking was successful, the total fee is 18.88 GBP payable at the station . Reference number is : 8602X6OE.
Thank you for your help|Is there anything else I can help you with?
No thank you.|OK. Sorry for the confusion about the times. If you need help with anything else just let us know.
I want to get a place to eat in the north.|Saigon City, which is Asian oriental cuisine and is expensively priced, Golden Wok is Chinese and moderately priced. And Royal Spice is Indian food and cheap.
I would like one in the moderate price range.|I have the golden wok, which is chinese or the nirala which serves indian. Would you like to make a booking at one?
No. Just get me the Golden Wok's phone number and address please and I'll take it from there|Okay, their address is 191 Histon Road Chesterton and their phone number is 01223350688. Is there anything else I can help you with?
Thank you. I also need a train that will leave Cambridge on Saturday. I want it to arrive at 12:30 to Ely.|okay, the TR0721 leaves at 11:50 and arrives at 12:07. Would you like me to book this for you?
Yes, please! I will need a booking for 6 people.|I will work on getting this booked and be right back with you.
thank you. can i please get the refrence number?|You're all set. TR0721 leaves cambridge on saturday at 11:50 and arrives in ely at 12:07. Your total is 21.12 GBP and your Reference number is : 9SI6A16E.
Thank you very much. This is all I need for now.|Your welcome, have a great day!
I'm looking for a train on Sunday that leaves after 17:15.|What are your departure and arrival destinations?
I'll be leaving from cambridge and heading to stansted airport.|Ok there are 7 choices. Is there a particular time you'd like to arrive at your destination?
not really, it just needs to leave after 17:15.|There are plenty of choices starting at 17:40 and leaving every hour onwards. Do you want me to book it?
Yes, book it for 7 people at 17:40|Booking was made, ref number is 6QWLFWW5! Do you need anything more?
thats all, see ya!|have a safe trip, bye.
I need a train to Cambridge, leaving from the Birmingham New Street station.|I have a train leaving from Cambridge on Friday leaving on 05:40 and arriving at 08:23. The ride is 163 minutes.
I need a train leaving on Thursday at 10:45|When could you like to arrive?
Anytime is fine as long as I leave after 10:45. I'll need a booking for 6 people and a reference number.|I suggest TR2613. It'll get you there the soonest after 10:45 but not soon enough to where time is tight. It is 450.6 GBP and the reference no. is 5VNL3K87
I will take it. Also, I am looking for a place that serves thai food in the west area.|Sala Thong is on the west side- it is on the expensive side.
Thank you, that sounds just right.|Great. Would you like me to make a reservation for you?
could you give me the address, postcode, and phone number please?|They are found on 35 Newham Road Newham, their postcod is cb39ey and their number is 01223323178.
Thank you that is all I need today.|You are more than welcome. Have a wonderful afternoon.
I'm hoping you can help me find a restaurant.|sure, what kind of cuisine are you looking for?
I'd like Persian food.|I'm sorry I have no restaurants serving Persian food.
Okay how about chinese food?|There are a lot of chinese restaurants in town. Do you have a preference on area or price range?
Any type is fine can you just give me the postcode of it?|Rice House is in the center, is cheap, and post code is cb12bd.
i am also looking for a train. The train should leave on sunday and should go to bishops stortford. The train should depart from cambridge and should arrive by 17:30.|Okay the TR3600 leaves at 15:26 and arrives by 16:07.
That's perfect. Can you book for 4 people please?|Booking was successful, the total fee is 32.32 GBP payable at the station . Reference number is : 4YOCRING.
Thank you. That is all the information I need.|Is there anything else that I can assist you with today?
No thank you that will be all|Thanks for using our services, have a lovely day.
I'm looking for a train going to norwhich from cambridge.|I've got 133 scheduled between Cambridge and Norwich. What day of the week are you planning to travel?
I would like to leave on Tuesday.|We have quite a few results. Is there a specific time you'd like to leave or arrive by?
There are 7 people in my party and we'd like to leave after 16:15 on Tuesday. I'll need a reference number, please.|Alright, the booking was successful, the total fee is 123.2 GBP payable at the station . Reference number is: KFMNIOGF.
Thank you so much. We also need a cheap place to stay. Can you help with that?|Is there a part of the city you would like to stay in?
I'm looking for a place to stay with free wifi. Find me a hotel like that with a star of 4.|Okay. Would you like to stay on the west side of town, or the centre?
I would like to stay in the south please.|I'm sorry but I don't have any hotels that match your criteria in that area, would you like to try another part of town?
Can you double check for a 4 star, south area hotel with free wifi and parking please?|I have 2 guesthouses matching your requirements, one cheap and one moderate. I recommend the moderately-priced Aylesbray Lodge.
Okay, thanks. I'm also looking for a train for Friday.|We have 2,828 entries for a train.  Could you narrow it down to what you need?
How much does it cost to take the bus in Cambridge?|Where will you be traveling to?
I will be traveling to london.|The rate for a trip from Cambridge to london kings cross ranges from 18.88 pounds to 23.60 pounds depending on the day of travel.
I am also looking for a hotel in the west side of Cambridge. Can you help me?|There are a few to choose from.  Do you prefer a hotel or a guesthouse?
I want a hotel on the west side that doesn't have to include internet. If no internet, what about free wifi?|Unfortunately there are no hotels meeting your criteria. Would you like me to look in another part of town?
Are you sure that there are no hotels on the west side of town? With or without internet?|There are four. Do you have a price range in mind?
I'm looking for a train departing from london liverpool street leaving on thursday.|There are 10 trains leaving fro Liverpool Street on Thursday. Did you have a departure time in mind?
Yes, I don't want to leave for Cambridge until 15:00 at the earliest.|Okay, the TR8944 leaves at 15:39 and arrives by 17:07. Would you like me to book tickets for you?
Yes, for 6 people.|Okay I have booked you and your reference number is WLUOQKEV.
Thank you. I also need a hotel in the south.|What price range are you interested in?
No price range but I do want a 4 start.|rosa's bed and breakfast is in the cheap price range
That sounds great. I'll need a reservation for 6 people for 4 nights on Thursday.|I've gone ahead and booked that for you. Your Reference number is : EUZ34KY9. Is there anything else I can assist you with today?
No, that takes care of everything I need. Thanks!|Do you need a taxi?
I don't need a taxi, thanks for asking|then thanks for inquiring with us.
Goodbye, and thanks again.|Sure thing.  Thanks for letting us help you today!
I need to find a particular hotel called cityroomz. Please send me all information you have.|I have the information for the hotel cityroomz, I am send you the information right away.
Thanks, can I get their phone number?|the phone number is 01223304050.
Can I also get the address please? Thank you.|The address is sleeperz hotel, station road.
Thanks. I also need help finding a train to get me to Cambridge from Broxbourne.|What day and time would you like to travel?
I would like to travel on sunday and leave after 11:15.|TR2939 will leave at 12:01 and arrive by 13:01. Would you like to make a reservation at this time?
Please. I'll need 7 tickets.|Booking was successful! Your reference number is: D83EGZQ8.
thank you so much|Is there anything else I can help you with today?
No thanks. That's it. Goodbye.|Goodbye. If you need any help later, we are here.
I'm looking for a train that runs on Tuesday.|Sounds good, Where will you be arriving from and going to?
I will be departing from london liverpool street and arriving at cambridge.|I have many travel time to choose from. Do you have a preferred travel time?
I want to leave after 14:45.|The TR5245 leaves London Liverpool Street at 15:39 and gets into Cambridge at 17:07. Would you like me to book it for you?
That sounds great.  Will you make a booking for 5 people please?  And I'd like the reference number for my records.|Ok   I will book it for you for 6 people
Actually I only need it for 5 people and I will need a reference number.|Booking was successful, the total fee is 83 GBP payable at the station. Reference number is : 7F4OHHP6 Payable at the desk, any other questions today?
Yes, could you help me find a North American restaurant that is expensive.|The gourmet formal kitchen is a great choice. Shall I book it?
Yes, book it for 5 people on tuesday at 17:00. Do not forget to send my reference number!|Okay, you are booked. Ref no. IBI16V4A
Great!! Thank you for all your help.|Is there anything else I can help you with?
That was all, thank you!|You're welcome and enjoy your visit.
I am staying in the centre of cambridge, can you tell me about places to go there?|Sure, what type of place interests you?
It doesn't matter but can I get their entrance fee.|Castle Galleries is located in the centre of town and are free to enter.
OK, that sounds great. I also need a train to get me to Cambridge.|I have several options but if you let me know your preferred departure point, day and time i can recommend the best option for you.
I will be departing from Kings Lynn on Saturday.|i found 19.what time would you like to go
I need to leave after 20:00.|I have 4 trains that match your criteria.  The first leaves at 20:11, then 21:11. 22:11 and 23:11.  Which one would you like to book?
Please book the one for 21:11 please.|Okay. Booking was successful. Your reference number is CJNO95ZP. Anything else?
That is all I needed. Thanks!|Have a great day.
I'm looking for an expensive restaurant in the centre. Thank you.|There are several restaurants in the price range what type of food would you like to eat?
The type of food is not important, but I would like a nice place that has tables available on Saturday evening.|Sure, I would recommend the Midsummer House Resaurant which serves British food.  It is a nice, expensive place located in the Centre.
Great I would like to make a booking for 21 person on a Saturday for 18:45.|I'd be happy to help with your request, could you please verify the number of people in your party?
just for one person. i'm a sad and lonely person. do you want to join me for dinner??|I have booked you at the midsummer house restaurant, your reference number is ZNN1RQ7E. You will have a great time, and I'm sure meet lovely people.  Enjoy!
I also need a train departing from cambridge leaving on sunday.|i got 5 trains on that day. what time do you need to arrive?
I would like to arrive by 15:00.|There are 99 trains leaving Cambridge Sunday. What is your destination?
I need it to go to bishops stortford and should arrive by 15:00.|TR2402 arrives at 14:07. Want to book?
Yes can you book that for 1 person as well?|Yes.  There is a train that leaves at 13:29 and arrives at 14:07, would you like to book this train?
Yes, that would be great. It will be only one person.|Booking was successful, the total fee is 8.08 GBP payable at the station . Reference number is : TZXLECBZ. Can I help you with anything else today?
Nope, that's it for me today. Thanks a lot.|Have a nice day and enjoy your stay in cambridge
I want to book a room in a place that has a 4-star rating.|What price range do you have in mind?
What price ranges are available for a 4 star hotel that includes free wifi and free parking?|There are options in all price ranges- cheap, moderate, and expensive.
I don't care which price range it is as long as it has free wifi and parking.|I would recommend the Huntingdon Marriott Hotel on the west side of town.
Thanks, I will keep that one in mind when I am ready to book.  I need to find a train also.  From Liverpool Street on Friday.|Sure, what is your destination?
I need to get to Cambridge by 09:15.|We have a train arriving by 9:07. Would you like to make a reservation?
Yes that will work thank you.|great, how many tickets do you need?
I need 5 tickets please. I'll also need the reference number.|Booked! Reference number: HVL4GGV6. At the station you are to pay 83 GBP.
Thanks so much for your help today.|Your welcome. It has been a pleasure assisting you today.
Need a place to eat with moderate prices, but needs to have russian food.|Unfortunately, I wasn't able to find anything matching your request. Shall we look for a cheap restaurant instead?
What about a Turkish restaurant instead?|I have two in that range, in the centre. Is that area the right area for you?
Yes, that area's fine. Can you make a reservation for 6 people on Thursday at 5:30 pm with one of them?|Would that be at 5:30 pm (17:30)?
