Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
I need a restaurant serving swiss food in the centre of town.|There are no Swiss food serving restaurants in that part of town, is there another type of restaurant in that area I can help you locate?
How about Chinese instead?|There are 10 restaurants that serve Chinese in this area. Did you have price range?
Price range doesn't matter. Can I have the address of a place that sounds good?|My personal favorite would have to be the ugly duckling. It is located at 12 St. Johns Street, City Centre, postcode cb21tw. Would you like to book a reservation?
Yes, I also need a train that departs from Ely on Wednesday.|There is a train that leaves Ely every two hours starting at 05:35.  What time would you like to depart?
I need to arrive in Cambridge by 17:30, so whatever arrives closest to that time would be great.|The train arriving closest to 17:30 in Cambridge Wednesday is TR2211, which arrives at 15:52. Would you like to book a seat?
What is the price?|The price of that will be 4.40 pounds.  Would you like to book a ticket?
Yes please. Can you provide me with the ticket information?|How many tickets will you need?
I just need 1 ticket please.|Your booking was successful, your reference number is PZ1ED5GM.
Awesome. That will be everything!|Great. Have a great day!
I'm looking for a train that leaves cambridge after 20:30|Where would you like the train to take you?
I want to go to Leicester.|TR3466 leaves at 22:21 would that work for you?
Yes, that will work fine. Will you please book it for 3 people and also provide the reference number?|Your reservation is confirmed for 3 people on Train ID TR3466. Your reference number is TB112VJL. Total fee is 113.4 GBP payable at the station.
I'm also looking for a cheap place to dine that serves venetian food.|I'm afraid we don't have any venetian restaurants in town. Is there something else that would work for you?
Can you recommend a place that services spanish food?|La raza is located in ctre and serves spanish food.
Great. Thanks for all your help.|I hope you enjoy your train trip.
I need to find a place to stay in the moderate price range that includes free parking.|There are 14 hotels for you to choose from. Is there a particular part of town you want to stay in?
No preference on the area, but I would like it to be a guesthouse, please.|I can book you at the acorn guesthouse if you would like! How many people will be joining you, and for how many nights?
3 people for 5 nights from friday.|I was able to book your party of 3 into Acorn Guest House for 5 nights starting on Friday. Is there anything else I can help with today?
Can I have the reference number please?|Your reference number is F2T8JUVW. Is there anything else I can do for you?
Yes, I need a train on Friday leaving from Peterborough to Cambridge.|There are 38 trains traveling from Peterborough to Cambridge on Friday. Is there a particular time frame you are needing?
Yeah, could it leave after 21:30?|Sure! TR4017 leaves at 21:48 and arrives by 22:38. Would that work for you?
Yes, could you please book it for 3 people?|Booking was successful, the total fee is 49.5 GBP payable at the station. Reference number is : Q2D4MZMU. Can I be of any further assistance today?
I believe that is all I needed. Thank you for your help!|You're welcome, have a fantastic day.
Can I get some information on a train?|Yes. Is there something specific you are looking for?
I'd like a train to depart at 9:30 in Cambridge.|i recommend TR1006.  it goes to london kings cross and costs 19. 51. can we book?
how long is that train ride?|It is 51 minutes. Would you like me to make a booking for you?
No but I do need help finding a particular hotel called the Gonville HOtel.|Gonville Hotel is an expensive 3 star hotel in the centre of town with free internet and parking. Would you like more information or to book it?
I'd like to book it. Can you book it starting Sunday night for 5 nights. I need reservations for 6 people.|Ok, booking was successful! Your reference number is 5X759ZBR. Is there anything else I can help you with today?
You took care of everything, thank you so much.|You are very welcome.
Can you find me a Turkish restaurant in the expensive price range please?|I have found the Meze Bar Restaurant located in centre area. Can I book this for you?
No. That's okay. Thank you. What is some other information on this location?|They are located in the centre of town, their postcode is cb13nf, and they are located at 196 Mill Road City Centre.
Thank you for that information I should have everything I need now.|Are you sure I can't help you with anything else?
I'm looking for a train from Birmingham New Street to Cambridge.|There are 133 trains, do you have a day and time you would like to travel?
Sure, wednesday I would like to leave after 14:45 please.|I have 9 trains that leave every hour and the first one is at 15:40.  Would you like me to book you the 15:40 train?
Yes but can you make a booking for 6 people? I would like a reference number too.|Booking was successful for TR5567, the total fee is 450.6 GBP payable at the station. The reference number is 4ARZYTLC. Is there anything else you need help with?
Nope that should be it thank you|Booking was successful, the total fee is 450.6 GBP payable at the station . Reference number is : 4ARZYTLC.
I want to eat. I am looking for a Jamaican restaurant with a moderate price range please.|I'm sorry, there are no moderately priced Jamaican restaurants. What about a different food type?
I would really prefer Jamaican. Are there any in the centre part of town?|Unfortunately there is none there as well. Can I broaden your search further?
Okay, well how about one that serves modern European food in that area?|I have two modern european restaurants in the centre.  Would you like to book at de luca cucina and bar?
Yes, that would be great and can you give me the postcode and their address please?|The address is 83 Regent Street, postcode cb21aw. What day and time would you like to book?
I will take care of that myself. Could you find me a train going to norwich arriving by 12:45?|I'll be happy to help. I need to know the day and your departure site, please?
I leave on Wednesday, departing from Cambridge.|TR9635 will depart cambridge at 10:36 on wednesday and arrive in norwich at 11:55. Would you like me to book tickets for you?
Please book that train.|Of course, how many tickets would you like me to book?
I would like to book a total of 6 tickets. And can I please get the reference number.|I was able to successfully book your tickets for train TR9635. Your reference number is 6144V7BE. Is there anything else I can help you with?
No. Thank you very much for your help.|Certainly! Have a nice day and contact the Cambridge TownInfo centre whenever you like!
I'm looking to book a place to stay while in town.  I want the hotel to be fairly expensive and near the centre.  Can you give some suggestions?|I have 2 wonderful hotels in that area. Both offer free internet and parking. I have the Gonville Hotel and the University Arms Hotel. How do these sound?
Is one of them a guesthouse?|No, they are both hotel types.
I really need a guesthouse can you find one for me please?|Would you like me to try to search in a different area for a guesthouse for you?
No, I'd like one in the centre.  I could change it to a cheaper price though.|There is none under that criteria,do you want to try a different area
I need a train for London Kings Cross to Cambridge.|OKay, what day and time are you looking to leave?
I want to leave Saturday after 10:45.|i recommend TR7223. can i book?
yeah, i need seven tickets.|Booking was successful, the total fee is 132.16 GBP payable at the station. Your reference number is : 26VNGN0I. Can I be of any further assistance today?
Can you find a place to in the centre?|The Williams Art and Antiques museum is located in the center. Would you like more information about this attraction?
Yes, I'd like to know the address, please.|Sure thing its on trinity street.
Alright that helped, thanks for your time. That's alls I needed to know.|It's been a pleasure. Good day.
I am looking for a train departing from london kings cross|Sure.  Where are you going?
I would like to go to Cambridge, after 11:15|Okay, and what day do you want to make the trip?
I want to leave on Monday.|Great, TR5720 from london kings cross to cambridge leaves monday at 11:17. Can I book this for you?
Actually, can I have the price, and the travel time please?|The cost is 23.60 pounds and the trip will take 51 minutes.
Great that's all the info I need, thank you for your help today.|Thank you very much. Have a nice day.
I'm looking for a place to eat in the centre of Cambridge. I'd like Mediterranean food.|I have three different ones. I have two expensive ones and one that is rather cheap. Do you have a preference?
I want the expensive one. Can you give me some information on them?|There is La Mimosa on Thompsons Lane Fen Ditton as well as Shiraz Restaurant at 84 Regent Street City Centre. Would you like more information?
La Mimosa sounds interesting. That's all I needed. Thanks!|You're welcome. Is there anything else I can help you with?
I need a train that will be leaving anytime after 16:45 going to cambridge, please.|What destination and what day?
The destination is Cambridge and I'd like it on Monday.|There are 77 trains. Where are you leaving from?
I'll be leaving from Birmingham New Street.|I have a train leaving at 17:40 from birmingham new street to cambridge. Would you like me to book it?
Yes please and can you give me the travel time, arrival time, and train ID?|The train we're looking at is TR3130. It arrives at 20:23	so the travel time is 163 minutes. How many seats do you need?
You've given me all the information I need. Thanks. Have a nice day.|My pleasure! Please call us back if we could help you with anything else.
I am looking for somwhere to go in the centre.|Are you looking for an attraction or a restaurant?
I'm looking for multiple sports in the centre please.|Unfortunately, I don't have any listings for centre.  How about in the east area?
Do you have any type of museums in the centre? If you do, I need the phone number, too.|I have about 11 different museums. Might I suggest the Primavera. It has a large variety of excellent exhibits. They also offer free admission.
Sounds great! Could I get the phone number?|Absolutely!  The phone number for Primavera is 01223357708.  Can I help you with anything else?
I need to book a train to arrive in Cambridge by 13:00.|OK, where from? And what day are you traveling?
I need the train for 8 people leaving from Peterborough and arriving in Cambridge before 13:00.  Once you have the booking, can you send me the reference number?|On what day did you need the train?
I would need the train on Friday.|There is a train that leaves at 05:19. The ID is TR1662. Would you like me to book at ticket for you?
Yes, for 8 people. I will need a reference number, thanks!|I got 8 tickets for you the reference number is TJTTPUV3. 132 GBP is the total and can be paid at the station when you get there. Anything else?
I think that will be all for today. Thank you.|You're welcome. Have a nice day.
I need a guesthouse, free parking included.|ok, the acorn guesthouse is a great place. Located in the north and is moderately priced. They offer free parking and internet.
Is there any other guesthouses that don't have internet included?|No, unfortunately there are no guest houses that offer free parking but do not offer free internet.
Okay, what about one that does have internet?|I think your best bet is Acorn Guest House.  They fulfill your need for free parking and are in the north.
How many stars does the Acorn Guest House have?|The Acorn Guest House is rated 4 stars.
What is the address of the Acorn?|Acrorn Guest House is located at 154 Chesterton Road.
I am also looking for a train that leaves after 14:15.|TR2420 train leaves at 15:00, may I book this for you?
Could you please book that train for 5 people and give me the reference number.|Sure thing, Reference number is : A4C2KF23. Anything else I can help you with?
That will be all, thank you.|It was a pleasure to assist you. Thanks for using our service. Have a great day. Goodbye.
On Saturday I need a train that will arrive by 21:45.|Can you tell me where you will be departing from and heading to?
I will be leaving from Ely and going to london.|Would that be London Liverpool or London Kings Cross?
Either one is fine with me.|Are you sure you don't have a preference?
Yes I'm sure. I need to book that for 5 people.|We don't have any trains going from Ely to London Liverpool or London Kings Cross. Do you need anything else?
I want a train departing from Cambridge, going to Ely. Saturday, arrival by 21:45.|The TR7349 train arrives at ely at 20:07. Would you like to book it or more information?
That's a good time. Please book TR7349 for 5 people, please.|All set! 
Booking was successful, the total fee is 17.6 GBP payable at the station .
Reference number is : H8XDA6RZ.
I am also looking for a place to stay that is cheap and 4 stars.|That leaves about 8 places to choose from. Are you looking to stay in a certain area of town?
Yes, i need a guesthouse in the east please.|Okay! How about the Allenbell? It's cheap, 4-star, and has internet and parking!
Great! May I please have the phone number and postcode?|Postcode is cb13js, phone number is 01223210353, anything else that I can help with?
I got it.Thank you.|You're welcome. Have a great day!
Hello, could you help me with information on a train?|Yes, I can. There are 2,828 trains traveling between Friday and Wednesday. Where are you departing from and what is your destination?
I am leaving from Norwich and going to Cambridge on Wednesday.|What time would you like to leave?
I don't have a departure time but I want to arrive by 15:45.|Great I have  tran that ik get you there by 15:35. Would you like to book that?
Just please get me the train ID and total travel time.|the id is TR1892 and the duration is 79 minutes. anything else today?
Can you find me a cheap guesthouse to stay in?|Do you have a area of town you prefer?
East part of town please|There are three to choose from that are on the East part of town. They are all in the cheap price range. Should I recommend one?
Could you try to book me into one starting Wednesday?|How many nights will you be staying?
There will be three of us checking in on Wednesday and staying for two nights.|I have you booked at the Autumn House, and your reference number is 8CCY0VK0. Do you need the address or phone number?
Not at this time.  Thank you so much.|Is there anything else I can assist you with?
No, thanks.  That's all for today.|Have a great day and enjoy your trip.
Can you tell me about any Modern European places in the expensive range?|There is one place, darrys cookhouse and wine shop in the centre. Would you like me to book that for you?
i'd rather have some place in the south|I'm sorry, but there are no restaurants in the south that match your criteria. Would you like to try a different type of food?
suggest any and find me their address, postcode and phone number|There's a great Mexican place called the Chiquito Restaurant Bar. Their address is 2G Cambridge Leisure Park Cherry Hinton Road. Post code is cb17dy. Phone number is 01223400170.
I also need a train for Sunday that leaves after 17:00.|Certainly, where would you like to depart from? And what is your destination?
I would like to leave after 17:00|how about TR9039? it leaves at 19:00
That's perfect, thanks. I have everything I need for today.|So happy to have been of service. Thanks for using the Cambridge TownInfo centre, and have a great day!
I am looking for information in Cambridge.|Okay! What would you like to know?
I need a train to bishops stortford on Tuesday that can get me there by 19:30.|TR2153 arrives closest to that, it can get you there by 18:07, shall I book you?
Can I get the price for that?|yes that will be 55pounds can I get anything else ?
When does the train leave Bishops Stortford, please?|That train would leave at 17:29.
Okay, thanks. Now could you also help me find a cheap persian restaurant in the centre?|There are no such options available. Shall we try a different food type perhaps?
How about asian oriental?|There are two options, I recommend the dojo noodle bar, shall I book you?
Yes book a table for 6 at 16:00 on Tuesday please.|Booking was successful. The table will be reserved for 15 minutes.
Ummm reference number please.|The reference number is 9TUP5ZI2.
Thank you so much. You have been a great help.|You're welcome. Did you need anything else?
I don't need anything else. Have a great day!|Okay, you have a great day as well!
I need to go to the stansted airport on wednesday.|Are you looking to go by train or taxi?
Train leaving cambridge going to stansted airport on wednesday anytime after 18:45|We have a train leaving cambridge at 19:40 arriving at stansted airport at 20:08. Should I book seats for you?
No, not at this time. I would like to know the travel time and price, please?|TR2694 leaves at 19:40	and costs 10.10 pounds
Great, thanks.  I also am interested in the People's portraits exhibition at the Girton College, can you tell me more about that?|It's located in the west of town and is free of charge.  Their phone number is 01223338901.  Can I help you with anything else?
Could you tell me if they have an entrance fee?|There is no entrance fee for the people's portraits exhibition at girton college
What type of attraction is is?|people's portraits exhibition at girton college is a museum in the west area of town. Their address is girton college, huntingdon road. Can I help with anything else?
that will be all, thanks!|Happy to be of service - enjoy your day!
Hello, can you tell me about some Asian Oriental restaurants in the centre?|There are several. Would you like a list of all of them, or do you have a preferred price range?
Would you please recommend one?|I recommend j restaurant. Would you like a reservation?
Sure, for 5 people at 13:45 on Friday.|Booking was successful. The table will be reserved for 15 minutes.
Reference number is : 9Z2BJHO4
I am will need a train.|Okay, what day are you traveling and what is your destination?
I need to get from ely to cambridge, on that same Friday.|The TR8519 train leaves at 5:35 and arrives at 5:52
make a booking for the same group of people.|Booking was successful, the total fee is 22 GBP payable at the station. Reference number is : J71IZZAE. Is there anything else I can assist you with today?
I also need reservation for food.|Do you know what kinda of food you want.
No, don't worry about it. I already got a reservation earlier. That is all I need.|Thank you for using our service today.
I need to take a train on Saturday|I can help you with that. Where are you headed, and at what time?
I'm headed to cambridge and the train needs to leave after 9:45.|I have found 149 trains available. Where are you departing from?
I would like to depart from stansted airport.  Can you book me a train for 3 people and provide a reference number?|Sure, the train leaves at 10:24, Reference number is MEFVDBWF. What else can I help with today?
I am looking for the Cambridge Book and Print Gallery|The Cambridge Book and Print Gallery is a museum in the west area, located at 49 Newnham Road.
That'll be everything. Thank you!|You are welcome, goodbye.
I am looking for a train leaving on Saturday.|There are several trains leaving on Sunday. Do you have a departure/destination in mind?
The train should depart from cambridge and arrive in standsted airport.|I have 19 trains leaving Cambridge for Standsted on Saturday. Did you have a particular departure time in mind?
I don't have a departure time in stone, but I need to arrive by 17:15.|The TR2001 is the last train of the day and arrives at 17:08. The train before it is TR0638 and arrives at 16:08. Do you want me to book one for you?
Yes, please book the TR0638. I need 7 tickets.|Your tickets are reserved. That reference number is 6J063KBL.
Alright, since I'm going to be in the city centre for awhile, could you tell me of any interesting places there?|There are several beautiful churches near the centre, all well known and valued for their beautiful architectural styles.  Is that something you might be interested in?
What's your favorite one? I trust your judgment - let me know the best one's address, postcode, and attraction type, please.|I would suggest All Saints Church for it's amazing architecture type. It's address is on Jesus Lane with a postcode of cb58bs. Make sure you check out that stained glass!
Wonderful, I am really looking forward to it! That's all I'll need for today!|Have a nice day.
Thankyou, I am looking for a trian that leaves on friday. I am also wanting it to leave after 12:30.|The TR3685 leaves at 13:00.  Need a ticket?
That is going to stevenage, correct?|No it is going to london kings cross, do you need to go to stevenage?
Yes, I must go to Stevenage.  How much is a ticket?|The cost is 12.80 pounds for all trains leaving Cambridge to Stevenage on Friday.  Would you like to book a seat?
First tell me about the attractions in town in the west.|What kind of attraction are you interested in?
It should be in the west part of town.|There are about 13 attractions in the west. I have several colleges, museums, and one entertainment attraction. Which would you prefer?
I'm not picky, choose one for me!|How about Churchill College?  Does that sound interesting?
That sounds great. Can you get me the address and the entrance fee?|It is located on storey's way. There is no entrance fee! Do you need help with anything else?
No thanks, I am all set.|Happy to be of help. Goodbye.
I am looking for a hotel called huntingdon marriott hotel.|It is located at kingfisher way, hinchinbrook business park, huntingdon
Thank you. Can you book it for 5 people and 4 nights starting on Thursday?|Booking was successful.Reference number is : QBQ6UVZ5.what else can i do for you?
I'm also looking for a train departing Cambridge and arriving at 8:30. Can you help out?|What day will you need the train and where are you traveling to and how many people will be traveling?
We would like to go to peterborough on Friday.|The TR9487 will reach Petersborough at 8:24 on Friday. Would you like to book that train?
Yes, please book it for 5 people.|Booked it, your ref. # is IOEJEYMY
Thank you for all your help. Have a great day.|Thank you!
Are there any expensive restaurants that are centrally located?|There are many restaurants that meet your criteria, is there a specific type of food you would like to eat?
I would like a place that serves Korean food.|Little Seoul is the only Korean restaurant in the center of town, and it is expensive. Would you like to book a table there?
That sounds just delightful! I would like a reservation for two at 20:00 for Friday. And I will need that reference number, please.|Okay you're all ready to go! Your reference number is Y8V4909W. Can I help you with anything else?
I would also like to book a train to Cambridge that day.|Where are you leaving from?
I'll be leaving from london liverpool street and I need to arrive in Cambridge by 11:15.|Ok. You are all ready to go. Your reference number is 52BZEK4D. The total fee is 33.2 GBP payable at the station. Can I help you with anything else?
No, that's all today. Thank you for your help!|Thank you have a great day.
I am planning a trip in Cambridge|I can help you with that. Are you wanting to come in by train?
I'm actually just looking for places to go in the centre.|Are you looking for a specific type of attraction?
I believe I'd like something in the entertainment area. Is there anything like that?|There are no options in the centre. Would you like to try another area?
Is there anything interesting going on near the college?|I don't have information on events only attractions.  Are you interested in visiting a college?
Yes please. I need the phone number of a college that you recommend.|I recommend Clare Hall in the west. Their phone number is 01223332360. Anything else I can help with?
I also need train tickets.|what is your destination and what time would you like to arrive?
I would like to arrive by 17:15.|What day will you travel?
I will be traveling on Thursday.|Can you tell me your departure and destination cities please?
Oh, silly me! I guess that information would help, wouldn't it? I need to depart from peterborough and arrive in cambridge, please.|Okay. The TR2526 would meet your criteria. Would you like to book tickets? If so, how many tickets would you like?
What is the total travel time for train TR4526?|the travel time is 50 minutes
That is all I need, thank you, goodbye!|No problem. Have a great day.
I need to find a train going to Stansted Airport and departing on Thursday.|the train id is TR7966
How much is a ticket?|The train ticket will cost you 10.10 pounds.
Does that train arrive by 16:45, I need to be there by then.|The TR7966 is the first train of the day, arriving at 6:08. The latest train arriving before 16:45 would be the TR9427 arriving at 16:08. Would you prefer that?
Do either of those trains depart from Cambridge? I'd like to leave from there if possible.|TR7966 does depart from Cambridge and arrives at 6:08. The latest train from Cambridge to Stansted airport on Thursday arrives at 10:10. It is train TR6242. Which do you prefer?
The 10:10 would work for me!|Alright, how many tickets do you need?
I can get my own ticket, thank you. How much will it cost?|The fare is 10 pounds 10. May I help you with anything else?
No, that's all Thanks|Thanks I have enjoyed the service
THE CONVERSTION    IS  ABOUT THE TRAIN   TICKET BOOK|You're welcome. Have a great trip!
I need some information on a train going to cambridge.|I'd love to help you with that! What day are you headed out?
Sunday. Sometime after 21:00, if possible.|There are multiple trains headed to cambridge sunday after 21:00. Where are you leaving from?
I am leaving from ely.|I have train TR4205 that leaves at 21:35 and will arrive in Cambridge at 21:52. The price per ticket is 3.52 pounds. Would you like a ticket for this train?
yeah, i need eight tickets.|Booking was successful, the total fee is 28.16 GBP payable at the station, your reference number is  0V72HM78. Will that be all?
I also need a guesthouse located in the north.|There are several choices, but all are priced either cheap or moderate. Which would you prefer?
Are there any with a star of 4? I'd like free parking as well if that is available.|I have 7 entries that fit your criteria. 6 are moderately priced, and one is cheap. Would you like information about any of these?
Yes info on the cheap price range|Worth house is in the cheap price range and located at 152 chesterton road
Thanks, for now I just need their postcode and whether or not they have free internet.|They do have free internet. Their post code is cb41da. Will that be all for today?
Yes, that's all. Thanks!|You're welcome, have a great day!
I am looking for a hotel in Cambridge with free parking.|There are 8 hotels that include parking. Is there a specific area or price range that you would like to stay in?
No, although I would like them to include free wifi as well.|I have several options. How about the Ashley hotel? It's in the north.
That will be fibne,I need you to book it for me|Ok, I need some information to complete your booking.  What day will you arrive?
Any day is fine after 7:45.|How many days will you be staying?
Lets not book the hotel. Can you help find me a train departing from Norwich to Cambridge on Saturday that leaves after 19:45?|Shall I go ahead and book you for train TR0615?
Yes, for 4 people please.|Your train is booked and the total fee is 56.32 and the reference number is FW5RK2C9. Can I help you with anything else?
Great, can I get the area for the hotel as well please. Just wonder what part of town it's in?|The Ashley hotel is in the north area. What else can I do for you?
That is everything. Thank you so much for your help!|The booking was successful! Enjoy your trip.
I wish to go to a swimmingpool in Cambridge.|I have four different swimming pools I can recommend. First, can you specify if you prefer the centre, east, or north area?
Can you tell me the address and phone number for the one in the center of town?|The address is gonville place and their phone number is 01223446100
Thanks.  I also need to check on trains.  I need to travel on Wednesday.|There are many trains fitting your criteria. Can you give me departure site, destination, and time preferences?
I need to leave london liverpool street and be in cambridge by 21:00.|There are 8 trains that would work on Wednesday. Do you have a departure time in mind? You could leave london as early as 07:39 or as late as 17:39.
I don't care about the departure time so please give me the ID and price of any one of those trains.|Okay, the trainID is TR7020 and the price is 16.60 pounds.
I would like to book that train. Thank You|The train booking is confirmed, number KJ1FLZL5 is your confirmation number. The fee is 16.6 GBP.  Anything else I can help you with?
No, that will be everything. Goodbye.|Thank you for contacting Cambridge TownInfo Centre!  Have a great day!
I need info on attractions in the center of the town.|What type of attraction are you looking to attend?
I'm not sure.  Can you recommend one for me?|I recommend  old school architecture. it is  located in trinity lane. can i give you the address?
Yes I would like the ostcode and phone number as well. Can you find a me a train departing cambridge on wednesday?|Old Schools, Trinity Lane, cb21tt.  The phone number is 01223332320.  As for the train, which station will you be traveling to?
I am going to Kings Lynn.|I will book it for you,is there anything else I can do for you ?
Hi, can you help me find a train from kings lynn on Monday?|Sure! There are 19 trains departing from Kings Lynn on Monday. What is your destination so I can narrow down the list for you?
Cambridge is my destination, please.|How many tickets would you like?
I will need 6 tickets.|The TR4943 leaves Kings Lynn at 05:11, would you like me to book your seats on that train?
Yes, is there a reference number?  I also am looking for a place to dine in the north area of town that serves chinese food.|There are three places that serve Chinese in the North, what is your price-range?
Moderate please and thank you.|The golden wok fits your criteria. Is there anything else I could help you with today?
Can you book me a table there for Monday at 14:30?|Yes of course, just tell me how many guests before I can process.
There will be 6 of us.|That place is not open at that time. Shall I try another?
Could you try for 13:30?|I was able to book the restaurant for you. The reference number is OESBPDPB. What else can I help you with?
That will be all. Thank you so much for all of your help!|you are welcome. its been our pleasure to serve you.
I need a train going to cambridge after 10:15 please.|What is your departure station please?
I am departing from Ely.|great, and on what day will you be traveling?
I will leave Thursday.|okay, the TR0813 leaves at 11:35 and arrives by 11:52. Would you like me to make a reservation for you?
Yes, please.  I need tickets for seven people.|Perfect, the train for 7 people is booked. The reference number is X5NYAW3W. Is there anything else I can help with?
Are there any modern european restaurants in the centre area?|Yes, there is the riverside brasserie, would you like to find out more about this restaurant?
Once you find the restaurant you want to book a table for the same group of people at 15:15 on the same day.|You are booked for riverside brasserie. Your reference number is K7R76S78. The table will be reserved for 15 minutes. Is there something else I can help with?
No that's great thank you.|you are welcome anytime
I would like to take a train that departs from stansted airport on Thursday.|I can find information on that for you.  Just to confirm, are you travelling to Cambridge?  And, what time frame do you prefer?
I am going to Cambridge and want to leave after 12:45.|I have train TR3720 leaving at 13:24 is that okay with you?
Yes can you book that for me please?|Yes I've booked it and your reference number is 9NZD8HCW.  Is there anything else I can help with?
You booked for 1 ticket, correct? And also, can you help me find a place to visit in the centre of town?|Yes I did. Yes, what sort of place would you like to see?
Anything in the centre is fine with me, whatever place that you recommend.|I would suggest the old schools.
That is fine. I need the attraction type, entrance fee and address.|How about Clare Hall? It's a college with free admission, and it is located on Herschel Road.
Got it. Thanks a lot. That's all the Help I need today.|Glad I could help, enjoy your trip.
I'm looking to go to a theatre in town. Can you help me find one?|Is there a location preference? Center, or south?
No preference. Where would you recommend?|I would recommend the Cambridge Arts Theatre.  It is in the city Centre.
Can I get the phone number,area and postcode please?|They are in the centre, 6 saint Edward's Passage. Postcode, cb23pj. Phone is 01223503333. Anything else?
I am also looking for a train on Monday headed to Bisheops Stortford.|The earliest train departing Cambridge for Bishops Stortford is at 15:29. Is this acceptable or would you like a later train?
I would like to leave after 11:00. Do you have a departure at that time or close to it? Please provide the train ID.|I have an 11:29 with train TR928 does that work for you?
I think that is all I need. Thank you.|You're very welcome! Have a great day!
I'm looking for places to go in the centre of Cambridge.|There are 44 different things to do in the centre of Cambridge.  Can you help me narrow it down by type of activity or attraction?
What's the postcode for your favorite one?|My personal favorite is holy trinity church. They are on market st and the postcode is cb23nz. Anything else I can help you with today?
I also need to book a train.|i have plenty of trains, can i get more information please?
I need to leave on sunday after 12:30 from cambridge to stevenage|The first train after 12:30 is the TR0523, which leaves Cambridge at 13:21.
Great, can I get two tickets on it, please?|I've booked two tickets for the TR0523 train, and your reference number is R6GCVVA0. Can I help you with anything else today?
No, thank you. You've been very helpful! Goodbye.|Thank you for contacting Cambridge TownInfo centre.  I hope you have a pleasant trip!  Goodbye!
I am looking for a place to eat. I want to eat modern european food in the expensive price range please.|We have just the place. Darrys Cookhouse and Wine Shop serves this type of food in the centre and is within the expensive range.
That sounds great! Could you give me the address?|Of course, the address is 40270 King Street City Centre. Would you like me to try and book you a reservation?
Not now, but I do need a train to cambridge that leaves after 19:45.|I would be happy to look that up. Where would you like to depart from?
I want to depart from stevenage on wednesday please.|I found 10 trains, do you have a particular time you'd like to go?
The only time specification is that the train leaves Stevenage after 19:45.|I have the TR4015 that leaves at 19:54. Will that work?
Yes, that will work. Can you please book 4 tickets for that train. And can I get the reference number please.|Booking was successful for TR4015, the total fee is 51.2 GBP payable at the station. Your reference number is : JZCOHGH8. Can I help with anything else?
No thank you. That was all the information that i needed, i appreciate everything you have done for me.|Thank you for using our system!
I am looking for a place to eat that's expensive and serves Belgian food.|I'm sorry, we don't have any Belgian restaurants. Would you like to try a different type?
How about somewhere expensive in the centre?|no such restraunts too
How about a gastropub restaurant?|I have two, the backstreet bistro and the slug and lettuce. Do you have a preference between the two?
Can you book a table at the Bistro for me? 4 people at 13:30 on Sunday, please.|Booking was successful. The table will be reserved for 15 minutes.
Reference number is : NSLKEI1G.
Thanks! I also need a train from Cambridge to Ely, please.|what time will you be departing?
I want to leave after 10:30 on Monday.|The TR8089 meets your criteria. Would you like to book tickets?
Yes, what time do I need to be at the station?|I should be asking you what time you need to be at the station.
I just need the arrival time and price.|The arrival time for train TR8089 is 12:07, and it will cost only 4.40 pounds. Is there anything else I can help with?
That was everything. Thanks very much!|You're welcome, have a good day.
I am trying to book a train.|What an excellent way to see the beautiful countryside. What other information can you give me?
I want to travel from Cambridge to London Liverpool Street on Thursday after 09:45.|I see that there are 8 trains available. What about TR2715 that leaves at 09:59?
I would like price, please|Certainly. Any ticket on that route is going to cost 16.60 pounds.
I'm also looking for a hotel to stay that has a star of 0 in the expensive price range.|There are no hotels in Cambridge that are expensive with a 0 star rating. Would you like to change either the price range or the star rating?
There's nothing in the north?|I do have City Centre North B and B in the north. It's in the cheap price range with 0 stars. Might that work for you?
Yeah, I think that would be all right.|Can I assist you with making a reservation there?
Yes please for 8 people, 5 nights starting Saturday.|unfortunately this b&b is booked for those dates, is there another day or shorter time that would work? Or should we search another area?
Are there in hotels in the north with a 2 star rating?|There are no cheap hotels in that area with 2 stars.  Can I check for a guesthouse for you or would you like another area?
I would prefer you to check another area, please.|I can not find anything that meets that criteria. We can change the price range or the star rating and search again if you like?
Can you search for one that is cheap in price then?|Nothing is rated 2 stars in any part of the city, what specifically would you like?
I need something in the cheap price range with other restrictions retained.|No matching records for that. How about we change the star rating?
Are there any cheap 0 star hotels in the north?|Yes, there is city centre north b and b, would you like me to book you?
Can you book that for 8 people for 1 night since 5 nights did not work earlier?|City Centre North B and B was available for Saturday night for your party of 8. Your reference number is D5Q373D5. Is there anything else I can help you with?
That would be it. Thank you|You're welcome. Have a nice day.
I am traveling to Cambridge and would like to find a local restaurant. I want to arrive by train at noon.|Hi there, let's start with the train arrival, where would you be travelling from?
I am looking for a train that will depart from Norwich on Sunday|There are trains every hour on the :16 that will get you there by noon, beginning at 5:16. Which would you prefer?
How about 7:16? What is the price?|TR4202 is the one that leaves at 7:16 and it costs 14.08 pounds per ticket. Would you like me to book it for you?
Yes that would be great. I am also looking for a place to dine for the night. Do you have any suggestions?|My recommendation would be the Ugly Duckling, a Chinese restaurant in the centre of town. It is located at 12 St. Johns Street City Centre.
Is the restaurant moderately priced? If so, please book a table for 5 at 18:00 and send me the reference number.|No, I'm sorry the ugly duckling is in the expensive price range. The copper kettle serves british food and is moderately priced. Would you like a reservation for it?
