am looking for a place to to stay that has cheap price range it should be in a type of hotel|Okay, do you have a specific area you want to stay in?
Seventy-nine, wow this is going to be so much fun!  Anyway I need a 0 star hotel with free parking.|I'm sorry there are not any matches for what you are looking for.  How about a guesthouse instead of a hotel?
Yes, that would be fine.  Something in the west would be great.|I'm sorry, but there is nothing with 0 stars in the west.
What about in the center?|Yes I found one guesthouse called el shaddai. Would you like to book a room?
Yes, please. I need to book it for 2 people and 4 nights starting from Friday.|I was able to make the booking. 
Reference number is : MNL7UFXJ.
Thank you. I am also looking for a place to go in town. I would prefer something near the hotel.|I highly suggest the Vue Cinema. Would you like more information?
That will be fine. I'll need the postcode and attraction type?|The postcode is cb11ps and the attraction type is cinema.
Thank You!, I will need to book a taxi that can depart by 12:30, please provide me with contact and the type of car.|I have booked your taxi. Be expecting a yellow BMW. Please call 07643657212 should you need to reach them.
thanks alot for yor help. that is all for today|Have a great time.
I will, thanks! You have a great day to. Bye.|You're welcome.
I need a train. The train should leave on wednesday and should go to stevenage.|I have 10 options available. Is there a particular time you wish to depart?
Yes, I have to leave Cambridge and arrive by 19:45 in Stevenage.|TR5695 departs at 05:21 and arrives at 06:10. Can I book that for you?
Yes please, just myself. Can you please provide the reference number as well?|Booking was successful, the total fee is 12.8 GBP payable at the station. Reference number is: 26IZGBI5. Is there anything else I can help you with?
I need a hotel as well.|OK, where are you wanting the hotel to be at, or do you have a specific price range you would like to stay in?
No price range,please book me a place and I need postcode|What type of lodging would you prefer?  And in which area?
Actually I think I've heard of a specific place - the Bridge Guest House? Do you have any info on them?|The bridge guest house is located in the south and is in the moderate price range. Would you like to make reservation?
No, I don't need a reservation at this time. But can you provide me with their postcode?|Sure, the postcode is cb28rj. Anything else I can get you today?
No that is all the information I needed. Thank you for all your help. Goodbye|Your welcome, good bye
I'm looking for a moderate priced place to stay with free wifi.|What day will you be arriving at the hotel and how long are you staying?
I am not sure what day, I am just researching now. I would like to have a 4 star hotel. Are there any options?|I have about 11 guesthouses that are available. Do you have a preference as far as area?
I do not have a preference on area.|I can suggest the avalon located in the north it is moderately priced with 4 stars. Would you like to make reservations?
does it have wifi?|It does have wifi! Will you need parking as well?
Nope, that isn't important. Can you book it for 1 person for 3 nights starting on Thursday please?|Okay, I've booked you at the Avalon. Your reference number is  ZG7G439M. Can I further assist you?
Yes, I need a train to peterbourough on Sunday.|There are several trains to Peterborough on Sunday. Where are you departing from and do you have a time in mind?
I am leaving after 16:45, can I also get the price for the tickets?|Where will you be departing from?
I will be departing from Cambridge.|Okay! Would you like to take the train that leaves at 17:06?
i want one that will leave at 16:45 as i said earlier|There is not one that leaves at 16:45.
It doesn't need to leave at 16:45, but after.  Sorry about that.|TR5473 leaves Cambridge at 17:06 and arrives in peterborough at 17:56. Will that work for you?
That sounds like it might work, could you just forward me the price of that one please?|That train ride will cost 13.20 pounds. Shall I book it for you?
That will be all today, thank you!|Please let us know if we can assist you in the future. Goodbye.
Do you have any places to stay in the west that include free parking?|Yes, we have four, two guesthouses and two hotels. Do you have a preference?
Are any of those in the cheap price range with free wifi as well?|I have two options, a guest house and a hotel. Which do you prefer.
I would like the hotel for one person for 4 nights starting on Friday|I'm sorry, but they have no vacancy at that time. Would you like to try a shorter stay, or perhaps a different arrival day?
Yes, let's try for just one night please.|I have successfully booked you a room at The Cambridge Belfry for Friday. Your reference number is DE3B03B6. Is there anything else I can do for you?
Yeah, could I find someplace in the same area of town to go to do something?|magdalene college would be nice for you
I'm looking for a hotel (not a guesthouse) on the west side of town. Can you tell me about my options?|The Huntingdon Marriott is expensive, and I also have the Cambridge Belfry, which is cheap. Are you interested in one of these?
What do you have with a rating of 1 star?|There are no 1 star hotels in that part of town.  Is there another area you might be interested in?
No, it has to be in the west. A 4 star place would be okay, as long as it is a hotel and not a guesthouse.|No hotels meet your criteria. Would you like to change your criteria?
Well, I definitely want a hotel in the West. I need one for 6 people for a stay of 5 nights starting Saturday.|Sorry, there are no hotels meeting your criteria. Could you change your criteria?
Is the Cambridge Belfry available for 4 nights starting Saturday for 6 people?|Unfortunately, no. Can we try a shorter stay period?
Are there any four star hotels in the west?|Yes, huntingdon marriott hotel and the cambridge belfry.
TO recap, I need a hotel in the West, four stars.|huntingdon marriott hotel and the cambridge belfry are 4 star hotels in the west.  The second hotel is cheap & the first is expensive, which would you prefer?
I'd rather have the least expensive one. What star rating is it?|It is a 4-star rating.
OK, can you just book a 4 star hotel room in the west part of town?  Any one is fine.|Both of these hotels are booked. Would you like to change any of your parameters?
Let me try again.  I am needing a 4 star hotel in the west, for 6 people.  Checking in on Saturday, 5 nights.|That worked, thank you for summarizing for me.  Your reference number is U0E4KO2T.  Is there anything else I can help with?
I need a Hotel type in the west that's 4 stars to book for 6 people for 5 nights, starting on Saturday, please recheck that you can't book that.|I have that all worked out for you, the reference code is MQ7AMF1M. The hotel is the Cabdrife Butterfly.Is there anything else you need?
No, I'm sorry that was so confusing.  It appears I have 2 hotels, but that is better than 0.  Have a good day.  Bye.|You have a good day also.  Bye.
I would like a guesthouse in the moderate price range. Do you think you could find one for me?|What part of town would you like to stay in?
I have no preference, but the guesthouse should include free parking.|Acorn guest house meets all your needs, would you like to book that?
That's perfect. I would like to book it for 1 person. It needs to be for 4 nights beginning Saturday.|I'm sorry, but the Acorn Guest House doesn't have those dates available. Would you like to try for a different day or shorter stay?
Yes, please try booking for 2 nights.|Your booking for 2 nights at the Acorn Guesthouse was a success! Your reference number is R4ES2ZFT. What else can I do for you today?
Are there any attractions to see in town?  I'm interested in going to a museum if any exist.|We have 79 museums listed. Would you like a certain area of town?
Which is your favorite museum? If you'll get me their postcode, entrance fee, and phone number, I'll give them a call.|I would recommend the Broughton House Gallery.  It has a free entrance.
Ok, that sounds great.|The postcode is cb11ln and address is 98 King Street.  The phone number there is 01223314960.  Anything else?
Yes, I'd like to get a taxi from the hotel to the museum please.|When do you want to leave?
I'd like to leave the Acorn by 5:00 if possible.|Your taxi booking was a success! The taxi will be a red Lexus with contact number 07432305998.
Okay great! That is all I need. Thank you.|I am happy to have helped.  Thank you, have a nice day.  Good bye.
I need some tourist information please. I need to know about a hotel called the arbury lodge guest house.|The arbury lodge questhouse is in the north area and has a moderate pricerange.  It is 4 stars and has free parking and internet.
I would like to book a stay for 3 people for 2 nights starting from Tuesday.|Good news I was able to get this for you.  Reference  I4DXHDJL.  Can I help you find other things to do in the area as well?
I am also looking to eat somewhere expensive, in the South area of town.|There are two Chinese, one Indian, one Italian, and one Mexican restaurants. Which of those would you like?
I would like the Italian place please.|Frankie and Benny's is an expensive restaurant which is expensive would you like for me to book it?
Yeah, book for 3 people on tuesday at 18:30 and give me the reference number|Your booking is complete and the reference number is VVBM497N.
I will also need a taxi, please.|Where would you like your taxi to pick you up and drop you off?
I want to be picked up at the hotel and dropped off at the restaurant.|And what time would you like the taxi?
I want the taxi to get me to the restaurant by 18:30.|black bmw
Contact number	:	07631265313
Is there anything else I can assist you with?
Nope that'll be all for now. Thank you have a good day.|Okay, goodbye I hope you enjoy your time in town!
I would like the address to the Carolina Bed and Breakfast hotel in Cambridge.|It is located at 138 perne road
What is the price range of the Carolina Bed and Breakfast?|It's in the moderate price range.
Thanks, I'm also looking for places to go in town. I'm particularly interested in colleges. Any recommendations?|I have 18 different colleges available. Is there a particular area of town or price range you're looking for?
You can choose which ever is best, can I have the postcode?|Clare Hall is a favorite of mine is the west. The post code is cb39al. May I help you with anything else?
No that takes care of it,thank you|I'm happy we could be of service, and I hope you enjoy your time in Cambridge!
Could you help me find a restaurant with middle-eastern cuisine?|There is no such match. Do you have any other food preferences?
maybe one that serves chinese food. and it should be located in the centre|Charlie chan is an affordable option.
Ok, sounds good.  Could I make a reservation for 3 for thursday at 13:30?  Can you send me a reference number as well.  Thanks!|Excellent choice.  Your table is reserved.  Reference BCKQCXNI.  Anything else I can help you with?
I also need a place to stay with free wifi and in the same area as the restaurant.|I have many choices for you. What price range are you looking for?
It doesn't matter but I would like a guesthouse with free parking.|I have two. Would you like more info on them?
Do they both have free wifi and parking? Which would you recommend?|Yes. I suggest Alexander Bed and Breakfast. It is a 4-star guesthouse. Would you like a reservation there?
Yes please make those for 5 nights on the same day for the same people.|i will work on getting this booked.
i also need a taxi to commute between these two places|I was able to complete this transaction for you. Reference number is 4AMSSSO2,
Can I get the number for the taxi and the car type?|Your booking is complete.  You will have a grey toyota and the contact number is:07579620224.
I'd like to find out more about expensive restaurants in the city centre.|they are many. what is your prefered food type?
Are there any restaurants that serve French food? If so, I will need the phone number to the restaurant.|yes cote does. can i give you their contact?
Yes please. I did state that I wanted the phone number.|The number for Cote is 01223311053.  Is there anything else I can do for you?
Can you give me some information on a hotel called holiday inn Cambridge, please?|The Express by Holiday Inn Cambridge is an expensive, 2-star hotel in the east. They're located at 15-17 norman way, coldhams business park. Can I book a room for you?
Yes, please! I'll be traveling solo, and I need 3 nights starting Monday.|Ok.  I've booked a room with a queen sized bed for 3 nights starting Monday at the Holiday Inn Cambridge.  Is there anything else I can help you with?
Can I get a taxi that will take me to the hotel from the restaurant?|Sure, what time should I set it up for the taxi to pick you up?
Well, I need the taxi to pick me up at the restaurant by 09:15.  I need the contact number and car type please.|Alright, you'll be picked up by a grey Volvo, and the contact number is 07916701458. Can I help you with anything else?
No, thank you. That is all. Goodbye|It was a pleasure helping you today. Good-bye.
I am looking for a specific hotel.|Not a problem. If you give me the name, or as much of the name as you remember, I can try to find that for you.
It was arbury lodge guesthouse.|Of course. That's in the north part of town and moderately priced. Would you like me to book a room?
Yes I need one for 4 nights for two people staring from Saturday.|Booking was successful.
Reference number is : 04UQ2GXW.
Thanks! Can you also tell me if there are any multiple sports attractions in the center of town?|sorry, there are none, can we try another area?
How about a nightclub instead?|There are five options, i personally recommend Kambar, would you like more info?
I like the name. Could you give me Kambar's address, postcode and entrance fee please?|Kambar is at 1 Wheeler Street. The postcode is cb23qb and the entrance fee is 5 pounds.
Can you book me a taxi and give me the contact number and car type? It should pick me up from the hotel at 13:45 and take me to Kambar|Your car has been booked. The car is a black Honda and the contact number is 07050481392. Anything else you need help with today?
No, there is nothing else I need today.|You are welcome, have a great day.
I need to find a train leaving Cambridge and going to Ely. Can you help?|I can help! There are many options
I need to leave on Friday and arrive by 21:45.|There is the TR6053 that arrives by 20:07. Do you want me to book it?
What's the travel time on that one?|You can book TR6053 since it is only a 17 minute trip. Thank you
What time does that train leave Cambridge? I also need a place to stay in Ely, with free parking and free wifi?|The train leaves ely at 19:50. Would you prefer a guesthouse or hotel?
Really makes no difference to me as long as its on the North side of town|I have about 11 different places so far. Do you have a certain price range in mind? That may help narrow it down some.
I will take any suggestions you have.|The hamilton lodge is moderately priced and has 3 stars. Would you like to make reservations?
Can you confirm if the hamilton lodge has both free parking and free wifi?|Yes, the hamilton lodge has free parking and wifi. Would you like me to book?
No, not today. I just needed information.|No problem, anything else besides the hotel and train today?
no that is all thanks|You are welcome. It was a pleasure serving you from Cambridge TownInfo centre. Goodbye.
I am from out of the area and would love some help finding a room somewhere in the city.|Sure, I'd be happy to help. Do have a price range or particular area of town you're interested in?
I'd like it to include free parking and be in the north please.|I have several options for you with prices ranging from cheap to moderate. I recommend the Archway House.
Is that a guesthouse? I would really like that.|Yes, The Archway House is a guesthouse in the north. It's moderately priced, has 4 stars and includes free wifi and internet. Can I book you a room there?
You certainly can, thank you.  I will be the only guest and I'd like to check in for 2 nights starting Wednesday.|I'm sorry.  They are booked up through those days.  Would you like to try for one day?
Yes, 1 night would be fine.|I have booked you for Wednesday night at the Archway House. Your reference number is 1MWP83E1. Is there anything else I can help you with?
Great! That's all, thanks!|Welcome, hope you enjoy your day.
Hi there. I'd like to find a place to stay. It doesn't need to have any stars, but I'm willing to pay a moderate amount of money.|Do you have a side of town you'd like to stay in?
I don't have a preference on what side of town, but it does need to include parking.|There are 12 guesthouses and 2 hotels, which do you prefer?
I don't really have a preference, so surprise me!|I recommend the Acorn Guesthouse. Would you like to book a room there?
What's the star rating on it?|The acorn guest house is 4 stars. Is there anything else you need?
I need the type of place it is, the number and full adress please.|It's a guesthouse located at 154 Chesterton Road, cb41da. Their phone number is 01223353888.
Great thank you I also will need some info on a restaurant called The Copper Kettle|The copper kettle is a british type located in the centre area and moderately priced.  Would you like to book a table?
Yes, I would like to book a table for 2 people at 15:30 on Monday, please.|I have the booking reserved. The reference number is NBW5RHEE. Is there anything else I can help you with?
Yes, I would also like a taxi to get me from the guesthouse to the restaurant.|Alright, I have got you a taxi to get you to the restaurant by your reservation time. Be looking for a grey Audi. Their contact number is 07643250186 just in case.
Thank you very much for the service.|Your welcome. Is there anything else I can do for you today?
Thats all thank you for your help,goodbye|You're welcome, please let me know if you need anything else.
I don't know if this is possible but can you please get me some information on the alexander bed and breakfast?|sure, i have their information. what would you like to know?
Ah, I just wanted to know it was still open. Could you book me a room?|Sure, what day would you like it for?
3 nights starting from friday.|A reservation for 1 person?
No, I would like it for 4 people.|Booking was successful.
Reference number is : CRLJAWX3.
I also need to find an Indian restaurant in the east please.|There are a few Indian restaurants in the east, do you have a price range you are trying to stick to?
In the mid-range would be fine.|Rajmahal is a moderately priced Indian restaurant. How many people will be dining?
4 of us Friday at 14:45 I need the reference number too.|Your table is reserved, reference #NKKOLWNU. Can I help you with anything else today?
Yes, I'd also like to book a taxi. I'd like to arrive at the restaurant by the booked time.|Where will you be departing from?
I will be traveling between the hotel and restaurant.|What time would you like to travel?
I would like to get to the restaurant by 14:45 please.|Booking completed!
Booked car type	:	white honda
Contact number	:	07125482836
Great, thanks so much, that's all I need! Have a great day!|You're welcome! Goodbye.
I need to find a place to stay in the centre of town.|Do you have a price range?
I'd like a cheap guest house with wifi.|Perfect. Alexander Bed and Breakfast is a cheap guesthouse in the center with free internet and parking. Can I book it for you?
Yes, that would be great. I will be there for three nights.|How many people and from what day will you stay?
We arrive on Monday and stay for 3 nights, there are 7 of us.|Booking was successful.
Reference number is : DHS86PO0.  Can I help with anything else today?
I need to find a place to eat as well.|I would love to help you with that. Do you have anything specific in mind? Area? Price range?
I am looking for the same area and price range as the guesthouse -- centre and cheap.|dojo noodle bar would be perfect for you. Shall i book it ?
Actually I want a restaurant that serves food in the type of the americas|There are no cheap restaurants in the centre of town serving cheap food from the Americas. Wild you like to try a different area or cuisine?
Sure, how about Portuguese?|Nandos City Centre is a cheap place to eat and is in centre. Can I book it for you?
Yes please. Also, I'd like to get a taxi and leave the hotel at 14:30. Could you get me the contact number and car type?|A black volkswagen is booked for you. The contact number is 07101354106. Anything else today, or will that be all?
Thanks for all of your help today you have been wonderful!|So glad I could be of assistance. Have a lovely day!
I'm looking for a hotel with free wifi.|There are 32 matching that. Do you have a price range or an area preference?
Yes, I'd like to stay on the north end of the city if possible. No too expensive, please. Something that's moderately priced would be best.|How many days will you be staying?
I'm not sure yet. If you have a moderately priced hotel in the north with wifi, I need the name and phone number.|I have found matching two hotels in that area. Ashley Hotel has two stars, and Lovell Lodge also has two stars. Would you like me to book one?
No thanks. I just need the postcode and phone number of Lovell Lodge please.|The postcode is cb41sr and phone number is 01223425478. May I help you with anything else?
That will be all. Thanks.|Thank you for using our service. Goodbye!
Hello I am looking for an expensive restaurant on the east side of town. Any suggestions?|Yes the Grafton Hotel has a very nice restaurant.
Is the food there gastropub?|They are British, would you like me to look up a gastropub?
Yes, could you make a reservation for 6 on Tuesday at 19:30?|Royal Standard is the only expensive gastropub in the east. I booked a party for 6 at 19:30 with reference YHCVV3FQ.
I am also looking for a Hotel by the name of Allenbell.|Of course, would you like me to book it?
Yes i need it for 4 nights starting Tuesday for 6 people.|Your booking was successful, and your reference number is OMITG48O. Is there anything else I can assist you with tonight?
No, that is all.  Thank you very much.|Have a good trip! Good bye.
I am looking for train from London Kings Cross and should leave after 21:30.|We have several trains available. Is there a particularly day you wish to leave on?
I would be leaving on Tuesday going to Cambridge.|I have one train available that meets what you need. Train TR2471 leaves at 23:17 and arrives on 24:08. Would you like me to book you a ticket for this train?
Yes, please. Can I have the Train ID and total travel time, as well?|Sure. The train ID is TR2471 and the duration is 51 minutes.
Thanks. Can you also help with a guesthouse to stay out? I prefer in the east.|There are six.  Would you like one moderately priced or cheap?
Doesn't matter, do any have a 4 star rating?|Yes I have many 4 star guesthouses matching your criteria. Do you have a preference for free parking and/or internet amenities?
Sure free parking is fine, let me know if they do or don't. Please also give me a phone number, internet doesn't matter.|The Carolina Bed and Breakfast has free parking and their phone number is 01223247015, do you want me to book a reservation for you?
No. I don't need a reservation now. Thank you very much for all your help.|Terrific, is there anything else I can help you with today?
Nope, that'll do it, thanks for your time!|You're welcome. Thanks for contacting the Cambridge TownInfo centre and have a great day.
I'd like to get to Cambridge by train, but I'm afraid I need to travel on Sunday. Will that be possible?|From where are you departing?
I am leaving from Broxbourne.|There are 19 trains running from Broxbourne to Cambridge on Sunday. Is there a particular time when you need to travel?
Can you get me one that'll arrive by 18:30?|I have just the train for you!  TR9331 will arrive in Cambridge at 17:32, which is within your desired timeframe.  Would you like me to book that for you?
Yes, please.  I need 2 tickets.|I was able to get 2 tickets. Your total is 28.64 GBP and will be payable at the station. Your reference number is 8UDKCNBU.
Perfect, thank you! I'm also looking for a guesthouse in the area, preferably in the North. Do you have an option that has free parking?|We have many in that area with free parking. Might I suggest the acorn guest house?
Sure. Please book for 4 nights starting on the same day.|I will go ahead and book that for you.
Thank you so much.  Can I get the reference number also, please?|I'm sorry, how many people would you like to book the room for?
2 people, 4 nights, for sunday.|Booking was successful. Your reference number is : I78WB6O9.  Can I help you with anything else today?
No. Thanks a bunch! Goodbye|You're welcome, it was a pleasure serving you!
Do you have directions to a guesthouse I can rent in the west of Cambridge?|i have a variety. if you can narrow down your choice by price range and maybe rating.
A 3 star rating would be perfect.|Hobsons House is at address 96 barton road postcode cb39lh and their phone number is 01223304906.
Great, can you help me find some place to go in the Centre, maybe a college?|There are 13 to choose from, are you looking for one with free admission?
That doesn't actually matter. You can choose the one you most recommend and then please tell me the phone number and postcode|How about Christ's college?
Yeah that is fine, can I get their phone number and zip code?|Absolutely. Their phone number is 01223334900. The postcode is cb23bu. Is there anything else I can assist you with?
Yes, I also need a taxi to go between the two. I want to leave the hotel by 20:45.|Booked car type	:	white bmw. Is there anything else I can help with?
That's it for me today. Thanks so much! Bye!|Your welcome. Contact us again anytime. Good Bye!
I am leaving Tuesday and need to take a train from Cambridge to Ely|Certainly. It looks like the trip is 17 minutes long. When would you like to leave?
I need the train to arrive by 11:15.|The TR3246 arrives at 10:07, would you like to book that train?
When does that train depart?|The train departs at 09:50.
Great.  I'm not ready to book today though.  I am also looking for a place to stay.|where are you staying and for how long and how many rooms please
I don't know where I am staying. I'm looking for a guesthouse and I thought you could help.|There is a variety of guesthouses to choose from.  How much would you like to spend?  We have cheap, moderate, and expensive.
I would like the expensive price range.|I don't have anything in the expensive range that fits that criteria.
If you can't find a guesthouse, could you look for a hotel?|There are 5 available hotels. What area were you looking to stay?
i would prefer the south. are there any in that area?|There is one expensive hotel in the south -- The Lensfield Hotel. It is a 3-star hotel. Would you like to book a room?
please book it for 3 people and 5 nights starting from Thursday.
Make sure you get the reference number|The Lensfield Hotel will be expecting the 3 of you to arrive on Thursday and to stay for 5 nights. Your Reference number is : VOGVC4RY.
Great, that's all I need, thanks so much for your help! Have a great day!|Thank you for using the Cambridge TownInfo centre. Goodbye.
I am looking for a place to stay, I'd prefer a hotel.|We have 9 hotels in town, do you have a side of town you'd like to stay on?
No, but I'd prefer a hotel in the expensive price range. I do not need free parking.|We have five expensive hotels around town, ranging from 3 star to 4 star.
Which one would you recommend?|I would recommend the Lensfield Hotel. It is a personal favorite. Would you like me to see what is available?
Okay, let's book it for two people for 5 nights starting Friday.|I couldn't get you a room at the Lensfield. Maybe a shorter stay or different hotel?
Yes as long as it's in the same price range.|Okay I was able to book you into the Gonville and your reference number is : PVRV1EEJ.
Thanks, that's all I need. Have a nice day.|You are welcome.  Enjoy your stay at the Gonville Hotel.  Bye.
I am going to cambridge and need a hotel|I can help with that. Do you have a preferred price range in mind?
Not really.  I like 4 star places that include free parking though.|I have several places. Which area would you prefer to be in.
I'd like to be in the north side of town.|I did not find a hotel that fits your criteria on the north side of town, but there are several guesthouses.  Would a guesthouse be okay?
That is great. Can you provide me the phone number and price range of the best guest house?|Yes the phone number to the acorn guest house 01223353888 with a price range of moderate
I am also look for a train on saturday to broxbourne.|There are several trains headed to broxbourne. What time of day would you like to leave?
I would like to leave after 16:15.|Train TR5688 is departing to broxbourne at 17:01 would you like to book this?
Yes, can you please book for 3 seats?|That booking was successful, the total fee is 42.96 GBP and your reference #1l0FBGWG
Thank you. That's everything I needed.|Thank you for contacting us. Have a good day.
Can you find me a cheap guesthouse to stay at?|We have nine cheap guest houses. All offer free internet and free parking. Some have 0 star ratings and others have 4 stars. What sounds good to you?
Great, I want one with 4 Stars.|There are several that meet that criteria. I can recommend the Autumn House in the East of the city.
Sure. Please book a reservation for two people, Saturday, two nights.|Autumn House is full.  Can I try to reserve one of the other ones for you?
Yes, try another place as long as it is still in the cheap price range.|How about allenbell? Your reference number is 2SUPQQPL.
That will work,thank you for booking it,goodbye.|Thank you and goodbye.
I'm interested in finding a hotel that has free parking that I can stay at.|There are 8 hotels that provide parking. There is no information on free parking but there is one hotel in the cheap price range. Would you be interested?
Yes I need a place to stay for sure.  I like 3 star hotels.  Do you have any 3 stars?|There are several. I have two hotel options, both on the expensive side. If you'd rather something more moderately priced, there are also some guesthouses available.
Oh I almost forgot, I also need the hotel to provide free wifi.  That may narrow my options down a bit.  Can you check?|Okay, there are 5 options. May I recommend the Bridge Guest House?
That is great. I need it for Tuesday. 7 people lasting 5 nights.|I was able to book the room the reference number is WYIXGGE0. Is there anything else I can help you with today?
Yes, I would also like to find a Spanish place to eat at.|There are two Spanish restaurants in the centre of town, one cheap and one moderately priced. Which one would you be interested in?
Surprise me! I really don't care.|Then I would like to recommend la tasca as the better of the two.
Great, lets set up a reservation for 7 people at 20:00 on Tuesday.|Ok, I've made a booking for you. Reference number is : DWPPYCE4. Can I help with anything else today?
Thank you. That is all that I need.|Fantastic, have a great trip!
I need a place to stay with a star rating of 0.|Okay we have three options in that category. Would you like to stay in the north or the centre of Cambridge?
That doesn't matter as long as the hotel is expensive.|I have none in that price range,can I check in another realistic price range?
How about something cheap?|I ave 2 listings one for city centre north b and b and another for el shaddai.
Does the City Centre North B and B offer free wifi? If so, can you please book it for Saturday with 8 guests, 2 nights.|Booking was successful. Reference number is  WDVI9XCT. Can I help with anything else?
That is all I needed. Thank you|Thank you for contacting us. Have a nice day.
Oh, we need a train departing from norwich going to cambridge. Can you give me some departure times and how long is the travel?|Trains leave every hour and the travel time is 79 minutes.  Can I book a certain day and time for you?
I would like a train leaving after 18:15 on the same day as my hotel booking.|I have train TR8600 leaving at 18:16 and arriving at 19:35.
Thank you. Can you book it for me?|How many seats will you need?
I won't need a ticket. Can I just have the price, please?|The price is 14.08 pounds. Can I help you with anything else today?
no thanks. i'm done. have a nice day. bye.|Thank you for using the Cambridge Town Info service! Enjoy your time in Cambridge
I am looking for a cheap hotel with free parking.|I can definitely help you out with that. Is there a certain area of town you'd like to stay in?
I would prefer to be in the centre of town, and I need the hotel to include free parking.|Alexander bed and breakfast is a guesthouse in town centre in the cheap price range. It has both free parking and wifi. Would you like to book a room?
Yes, please. That sounds perfect. There will be six of us.|I will need to know how many nights and what day you will be starting your stay before we finish the booking.
We will be arriving on Friday and staying 3 nights.|I have booked your stay at the Alexander Bed and Breakfast for Friday for 3 days for 6 people. Your reference number is DJF36WMD. Is there anything else I can help you with today.
I will need to take a train from Leicester on the same day as my hotel booking.|All trips from leicester cost 37.8 pounds and take 105 minutes. Is there a specific time you would like to depart or arrive by?
I need to leave after 17:45 heading for Cambridge. Go ahead and book the closest time and give me the train ID and arrival time.|The train ID is TR9629, leaving at 18:09 and arriving by 19:54. Can you tell me how many tickets you would like to purchase?
I'd like one ticket please.|Alright I've booked you one ticket, the total will be 37.79 and your reference number is PGY0G1J2. How else can I help you?
Can you please schedule a taxi to take me from the station to my hotel?|Sure, you need a taxi to  Alexander Bed and Breakfast from where, and do you have an arrival time request?
I do not. I just need the train ID and what arrival time it has.|The train arrives by 19:54 and TR9629 is the train id.
Thank you for your help.|Is there anything else I can help you with? Possibly entertainment or places to visit on your trip?
Please send me general information about a particular hotel called the lensfield hotel.|The Lensfield Hotel is an expensive hotel in the south rated 3 stars. Internet and parking are included in the price of your stay. Would you like to book a room?
Yes, could you make a reservation for just me starting on Monday?|it was  successful.Reference number is : MB909S4Y.
I am also looking for a train out of bishops stortford please.|i will book it for you and thank you for your time with us
I need a place to stay in the cheap price range.|Alexander bed and breakfast is available
it should be  a star of 4 and should be in the type of guesthouse. is it?|yes it is . can i give you the contact?
I would like to book it for 6 people staying 4 nights.|I'd be happy to help with your request, what day will you be arriving?
I will be arriving on Tuesday.|Okay. Your booking was successful and the reference number is  7SJQKM1T.
Thank you. While I have your attention, do you mind looking up a particular attraction for me? I believe it was called "hughes hall."|Yes their address is Wollaston road and their telephone number is 01223334898.
Could you tell me their postcode and what kind of attraction it is?|Of course, it is a college and the post code is cb12ew.
I need a taxi leaving the college at 03:00 then.|And what is your destination?
hughes hall college postal code cb12ew|I need the destination from Hughes Hall College.
I am excited to see some local attractions.  Can you help me with a particular one?|Sure.  Were you looking for a particular area of town to visit?
Actually, a friend was telling me about this great gallery in town. It was called the Saint Barnabas Press Gallery. Can you tell me about it?|It is located at the belfast yard, coldham's road in the east of the town. Here's the phone number 01223902116
I am also looking for a place to stay at. Any recommendations?|Would you like to stay in the East part of town, near the gallery?
No, I'd like a 3 star guesthouse in the south.|We have one guesthouse in the south. Bridge Guest House on 151 Hills Road. Would you like to reserve a room?
Can you let me know the price range of the guesthouse?|Certainly! The price range is moderate. Their phone number is 01223247942. Would you like me to book a room for you?
No thanks. I will book later on my own. Thanks for all the help. Goodbye.|enjoy your stay in cambridge!
I'm looking for a train that departs out of town on Monday. I'm in Cambridge now.|There are many trains that match this search. Where would you like your destination to be?
What trains do you see listed leaving Monday?|Well, there are 202 total, where would you want to go?
I'd like to go to London Liverpool Street.|We have ten trains leaving from Cambridge to London - Liverpool Street. Did you need to arrive by a particular time?
Yes, I need leave before 1:00 PM.|Alright. TR7276 Leaves Cambridge at 11:59 and arrives at London Liverpool St at 13:27. Does that work?
No, I need to arrive by 12:00.|The TR3085 leaves cambridge on monday at 0959 and arrives at london liverpool street at 11:27. Does that work?
Yes thanks but I need the price for the train.|The cost for the train is 16.60 pounds. Would you like me to book it for you?
Not at this time. Could you also help me find a moderately priced lodging?|there are 3 available hotels, do you need free parking?
Yes. I also would like it to be a guesthouse and have a 4 star rating.|The archway house fits your criteria. Would you like to book there?
Does the Archway House have internet?|Yes, I believe it does.
What's the phone number there?|Their phone number is 01223575314.
Great, thanks. Can I please also get the address?|Sure, it is located at 52 gilbert road, cb43pe.  Would you like me to book it for you?
No that won't be necessary, that's all I needed. Thank You!|Is there anything else I can help you with?
No, that's all. Goodbye!|Thank you for calling!
Hello, I would like to know about places to go in the south of town.|There are a range of attractions you can visit in the south. These attractions include nightclubs, cinemas, museums and entertainment places. Is there a specific type you would like?
What entertainment places are located there?|The following entertainment venues in the south are Nusha 01223902158 and Tenpin 08715501010.  Is there anything else I can assist you with?
What is the address of Nusha?|Nusha can be found at unit g6, Cambridge Leisure Park on Clifton Road. Is there anything else I can help you with today?
Yes, I need a 4 star place to stay with free WiFi.  Do you have anything?|Yes there are many options to choose from. Would you like me to book a room for you at one of these locations?
I'd like it to be a guesthouse in the south, free wifi also, and 4 stars. Whatever matches I need a room for 4 nights on Tuesday for 8 people.|I can book you at the aylesbray lodge guest house. Does that sound good?
